#id	name	altIDs	elementtype	features	cellularLocation	evidence
pid_135145	RASSF1A	UniProt:Q9NS23	protein	None	None	None
pid_135160	FBXO11	UniProt:Q86XK2	protein	None	None	None
pid_135174	MDM4	UniProt:O15151	protein	None	nucleus	None
pid_135205	MDM2	UniProt:Q00987	protein	[O-phospho-L-threonine]@216;inactivating-residue-modification	None	None
pid_135214	p53	UniProt:P04637	protein	[acetylated-residue]@null	nucleus	None
pid_135230	WIP1	UniProt:O15297	protein	None	None	None
pid_135238	p53	UniProt:P04637	protein	[O-phospho-L-serine]@15;[O-phospho-L-serine]@20	nucleus	None
pid_135245	p53	UniProt:P04637	protein	None	cytoplasm	None
pid_135255	p53	UniProt:P04637	protein	[N-acetylated-L-lysine]@320	None	None
pid_135274	Cbp/p300	None	protein	inactivating-residue-modification	None	None
pid_135306	SET8	UniProt:Q9NQR1	protein	None	None	None
pid_135316	hMOF	UniProt:Q9H7Z6	protein	None	None	None
pid_135332	E4F1	UniProt:Q66K89	protein	None	nucleus	None
pid_135352	STRAP	UniProt:Q8N0Z6	protein	[O-phospho-L-serine]@203	nucleus	None
pid_135357	STRAP	UniProt:Q8N0Z6	protein	[O-phospho-L-serine]@203	None	None
pid_135383	STRAP	UniProt:Q8N0Z6	protein	None	cytoplasm	None
pid_135391	MDM2	UniProt:Q00987	protein	[O4'-phospho-L-tyrosine]@394;inactivating-residue-modification	nucleus	None
pid_135428	p53	UniProt:P04637	protein	[methylated-L-lysine]@370	None	None
pid_135435	SMYD2	UniProt:Q9NRG4	protein	None	None	None
pid_135453	SET7	UniProt:Q8WTS6	protein	None	None	None
pid_135467	CHK1-2	None	protein	None	None	None
pid_135480	MDM4	UniProt:O15151	protein	None	None	None
pid_135481	MDM4	UniProt:O15151	protein	[O-phospho-L-serine]@342;[O-phospho-L-serine]@367;[O-phospho-L-serine]@403	nucleus	None
pid_135490	CHK2	None	protein	None	None	None
pid_135497	Membrin	UniProt:O14653	protein	None	None	None
pid_135503	GBF1	UniProt:Q92538	protein	None	None	None
pid_135506	p115	UniProt:O60763	protein	None	None	None
pid_135509	Brefeldin-A	None	small-molecule	None	None	None
pid_135518	p115	UniProt:O60763	protein	None	None	None
pid_135519	GBF1	UniProt:Q92538	protein	None	None	None
pid_135542	ARHGAP10	None	protein	None	None	None
pid_135555	Arfaptin-2	UniProt:P53365	protein	None	cytosol	None
pid_135563	ASAP1	UniProt:Q9ULH1	protein	None	plasma-membrane	None
pid_135564	ASAP1	UniProt:Q9ULH1	protein	activating-residue-modification	plasma-membrane	None
pid_135572	KDEL	UniProt:P24390	protein	activating-residue-modification	None	None
pid_135576	ARF-GAP1	UniProt:Q8N6T3	protein	activating-residue-modification	None	None
pid_135581	KDEL	UniProt:P24390	protein	None	None	None
pid_135582	ARF-GAP1	UniProt:Q8N6T3	protein	None	None	None
pid_135600	BIG1/2	None	protein	None	cytosol	None
pid_135615	COP	None	protein	None	None	None
pid_135617	CLTA	UniProt:P09496	protein	None	None	None
pid_135620	ER-cargo-protein	None	protein	None	cytoplasm	None
pid_135622	CLTB	UniProt:P09497	protein	None	None	None
pid_135625	COPA	UniProt:P53621	protein	None	None	None
pid_135643	ER-cargo-protein	None	protein	None	endoplasmic-reticulum	None
pid_135650	GIT-1-2	None	protein	activating-residue-modification	plasma-membrane	None
pid_135657	ARF-GAP1	UniProt:Q8N6T3	protein	activating-residue-modification	None	None
pid_135658	GGA3	UniProt:Q9NZ52	protein	None	None	None
pid_135681	ARF-GAP1	UniProt:Q8N6T3	protein	activating-residue-modification	plasma-membrane	None
pid_135697	PAP	None	protein	None	None	None
pid_135720	Phosphatic-acid	None	small-molecule	None	None	None
pid_135727	CYTOHESIN-1/4	None	protein	None	cytosol	None
pid_135735	GGA3	UniProt:Q9NZ52	protein	None	None	None
pid_135746	ARNO	UniProt:Q99418	protein	activating-residue-modification	cytosol	None
pid_135748	CD4	UniProt:P01730	protein	None	plasma-membrane	None
pid_135749	HIV-Nef	None	protein	None	None	None
pid_135752	adaptor-related-protein-complex-2-alpha-1-subunit	UniProt:O95782	protein	None	None	None
pid_135755	adaptor-related-protein-complex-2-mu-1-subunit	UniProt:Q96CW1	protein	None	None	None
pid_135773	Arfaptin-2	UniProt:P53365	protein	None	None	None
pid_135778	Rac1;RAC1	UniProt:P63000	protein	inactivating-residue-modification	None	None
pid_135799	ER-cargo-protein	None	protein	None	None	None
pid_135820	GIT-1-2	None	protein	None	plasma-membrane	None
pid_135831	ARF-GAP1	UniProt:Q8N6T3	protein	None	plasma-membrane	None
pid_135884	Arp2/3	None	protein	None	None	None
pid_135886	Arp2/3-Overexpression-on-golgi	None	protein	None	None	None
pid_135917	ARHGAP10	None	protein	None	cytosol	None
pid_135930	PRL-3	UniProt:O75365	protein	None	None	None
pid_135934	beta1-Integrin;beta1-integrin	UniProt:P05556	protein	[O4'-phospho-L-tyrosine]@783	None	None
pid_135943	RhoC	UniProt:P08134	protein	activating-residue-modification	None	None
pid_135946	Cyclin-A;cyclin-A	UniProt:P20248	protein	activating-residue-modification	None	None
pid_135951	PRL-1	UniProt:Q93096	protein	None	None	None
pid_135956	PRL-1	UniProt:Q93096	protein	[O4'-phospho-L-tyrosine]@null	None	None
pid_135964	EGR1	UniProt:P18146	protein	activating-residue-modification	None	None
pid_135979	PRL-2	UniProt:Q12974	protein	[S-farnesyl-L-cysteine]@164	None	None
pid_135984	Rab-GGTase-beta	UniProt:P53611	protein	None	None	None
pid_135987	Rab-GGTase-alpha	UniProt:Q92696	protein	None	None	None
pid_135994	PRL-2	UniProt:Q12974	protein	None	None	None
pid_136009	p21CIP1	UniProt:P38936	protein	activating-residue-modification	None	None
pid_136011	p21CIP1	UniProt:P38936	protein	inactivating-residue-modification	None	None
pid_136027	alpha-Tubulin	UniProt:P68363	protein	None	None	None
pid_136035	p130-Cas;p130-CAS	UniProt:P56945	protein	[O4'-phospho-L-tyrosine]@327;activating-residue-modification	None	None
pid_136053	Ca2+	None	small-molecule	None	intracellular	None
pid_136057	Angiotensin-II	UniProt:P01019	protein	None	None	None
pid_136065	Halofuginone	None	small-molecule	None	None	None
pid_136082	ATF-5	UniProt:Q9Y2D1	protein	[O4'-phospho-L-tyrosine]@null;activating-residue-modification	None	None
pid_136088	ATF-5	UniProt:Q9Y2D1	protein	inactivating-residue-modification	None	None
pid_136988	Gab1;GAB1	UniProt:Q13480	protein	[O4'-phospho-L-tyrosine]@446;[O4'-phospho-L-tyrosine]@472;[O4'-phospho-L-tyrosine]@589	None	None
pid_137000	p190RhoGAP	UniProt:Q9NRY4	protein	inactivating-residue-modification	None	None
pid_137021	IGF-1R-beta	UniProt:P08069	protein	None	None	None
pid_137023	IGF-1R-alpha	UniProt:P08069	protein	None	None	None
pid_137038	IL6RA	UniProt:P08887	protein	None	None	None
pid_137041	IL6	UniProt:P05231	protein	None	None	None
pid_137042	gp130	UniProt:P40189	protein	[O4'-phospho-L-tyrosine]@759;[O4'-phospho-L-tyrosine]@767;[O4'-phospho-L-tyrosine]@814;[O4'-phospho-L-tyrosine]@905;[O4'-phospho-L-tyrosine]@915;activating-residue-modification	None	None
pid_137113	STAT1	UniProt:P42224	protein	[O-phospho-L-serine]@727	None	None
pid_137196	IL2	UniProt:P60568	protein	None	None	None
pid_13836	CXCL11	UniProt:O14625	protein	None	extracellular-region	None
pid_13840	GNB1	UniProt:P62873	protein	None	None	None
pid_13843	CXCR3	UniProt:P49682	protein	[S-palmitoyl-L-cysteine]@347;[S-palmitoyl-L-cysteine]@373;[S-palmitoyl-L-cysteine]@377	None	None
pid_13851	GNAI2	UniProt:P04899	protein	None	None	None
pid_13854	GNG2	UniProt:P59768	protein	None	None	None
pid_13863	CXCL11	UniProt:O14625	protein	None	None	None
pid_13864	CXCR3	UniProt:P49682	protein	None	None	None
pid_13890	p38alpha-beta-active	None	protein	activating-residue-modification	None	None
pid_13893	p38-alpha	UniProt:Q16539	protein	[O-phospho-L-threonine]@180;[O4'-phospho-L-tyrosine]@182;activating-residue-modification	None	None
pid_13900	p38-beta	UniProt:Q15759	protein	[O-phospho-L-threonine]@180;[O4'-phospho-L-tyrosine]@182;activating-residue-modification	None	None
pid_13916	CXCL4	UniProt:P02776	protein	None	None	None
pid_13919	CXCR3	UniProt:P49682	protein	[glycosylated-residue]@null	None	None
pid_13928	CXCL9-11	None	protein	None	extracellular-region	None
pid_13934	CXCL10	UniProt:P02778	protein	None	None	None
pid_13935	CXCL9	UniProt:Q07325	protein	None	None	None
pid_13936	CXCR3-B	UniProt:P49682	protein	None	integral-to-membrane	None
pid_13940	CXCL9-11	None	protein	None	None	None
pid_13941	CXCR3-B	UniProt:P49682	protein	None	None	None
pid_13965	CXCL13	UniProt:O43927	protein	None	None	None
pid_13974	CCL11	UniProt:P51671	protein	None	extracellular-region	None
pid_13977	CXCL10	UniProt:P02778	protein	None	extracellular-region	None
pid_13979	CCL11	UniProt:P51671	protein	None	None	None
pid_139939	CXCR1	UniProt:P25024	protein	[phosphorylated-residue]@null	None	None
pid_139971	PLD1	UniProt:Q13393	protein	activating-residue-modification	plasma-membrane	None
pid_139997	CXCR1	UniProt:P25024	protein	None	integral-to-membrane	None
pid_139999	CXCR1	UniProt:P25024	protein	None	None	None
pid_14007	GNAI3	UniProt:P08754	protein	None	None	None
pid_140262	MIR130B	None	rna	None	None	None
pid_140266	TAp63b	UniProt:Q9H3D4	protein	None	None	None
pid_140278	TAp63g	UniProt:Q9H3D4	protein	None	None	None
pid_140288	TAp63b	UniProt:Q9H3D4	protein	[O4'-phospho-L-tyrosine]@149;[O4'-phospho-L-tyrosine]@171	None	None
pid_140298	SSRP1	UniProt:Q08945	protein	None	None	None
pid_140315	TAp63a	UniProt:Q9H3D4	protein	[O4'-phospho-L-tyrosine]@149	None	None
pid_140326	SSRP1	UniProt:Q08945	protein	None	nucleus	None
pid_140334	TAp63a	UniProt:Q9H3D4	protein	[O-phospho-L-serine]@52	None	None
pid_140349	Dicer	UniProt:Q9UPY3	protein	None	None	None
pid_140358	TAp63g	UniProt:Q9H3D4	protein	[ubiquitination]@null	None	None
pid_140380	AP2-gamma	UniProt:Q92754	protein	None	None	None
pid_140411	TRAF4	UniProt:Q9BUZ4	protein	None	None	None
pid_140429	TAp63g	UniProt:Q9H3D4	protein	[acetylated-residue]@null	None	None
pid_140449	TAp63a	UniProt:Q9H3D4	protein	[ubiquitination]@null	None	None
pid_14047	Src	UniProt:P12931	protein	[O4'-phospho-L-tyrosine]@419;activating-residue-modification	None	None
pid_140533	TAp63g	UniProt:Q9H3D4	protein	[phosphorylated-residue]@null	None	None
pid_140555	JAG1	UniProt:P78504	protein	None	None	None
pid_14055	MKK3-MKK6	None	protein	None	None	None
pid_140567	TAp63a	UniProt:Q9H3D4	protein	[phosphorylated-residue]@null	None	None
pid_140594	NQO1	UniProt:P15559	protein	None	None	None
pid_140611	SPATA18	UniProt:Q8TC71	protein	None	None	None
pid_14061	MKK3	UniProt:P46734	protein	None	None	None
pid_14062	MKK6	UniProt:P52564	protein	None	None	None
pid_140631	GPX2	UniProt:P18283	protein	None	None	None
pid_14063	MKK3-MKK6-active	None	protein	activating-residue-modification	None	None
pid_140640	CD95	UniProt:P25445	protein	None	None	None
pid_140659	BPAG1e	UniProt:Q03001	protein	None	None	None
pid_14066	MKK3	UniProt:P46734	protein	[O-phospho-L-serine]@218;[O-phospho-L-threonine]@222	None	None
pid_140695	EVPL	UniProt:Q92817	protein	None	None	None
pid_140709	MFGE8	UniProt:Q08431	protein	None	None	None
pid_140725	retSDR1	UniProt:O75911	protein	None	None	None
pid_140768	SMARCD3	UniProt:Q6STE5	protein	None	None	None
pid_140783	NIR	UniProt:Q9Y3T9	protein	None	None	None
pid_140796	EGR2	UniProt:P11161	protein	None	None	None
pid_14080	CXCR3-alt	UniProt:P49682	protein	[S-palmitoyl-L-cysteine]@347;[S-palmitoyl-L-cysteine]@373;[S-palmitoyl-L-cysteine]@377	None	None
pid_140810	HOGG1	UniProt:O15527	protein	None	None	None
pid_14092	CXCR3-alt	UniProt:P49682	protein	None	None	None
pid_14105	p38alpha-beta	None	protein	None	None	None
pid_14107	p38-alpha	UniProt:Q16539	protein	None	None	None
pid_14108	p38-beta	UniProt:Q15759	protein	None	None	None
pid_141378	RUNX1	UniProt:Q01196	protein	None	None	None
pid_141388	RPN13	UniProt:Q16186	protein	None	None	None
pid_141393	dNp63a	UniProt:Q9H3D4	protein	[phosphorylated-residue]@null	None	None
pid_141401	dNp63a	UniProt:Q9H3D4	protein	[ubiquitination]@null	None	None
pid_141408	SEC14L2	UniProt:O76054	protein	None	None	None
pid_141423	dNp63b	UniProt:Q9H3D4	protein	None	None	None
pid_141432	DLX6	UniProt:P56179	protein	None	None	None
pid_141447	dNp63g	UniProt:Q9H3D4	protein	None	None	None
pid_14145	MEK1-2-active	None	protein	activating-residue-modification	None	None
pid_141489	LSH	UniProt:Q9NRZ9	protein	None	None	None
pid_14148	CXCL9	UniProt:Q07325	protein	None	extracellular-region	None
pid_141497	RAB38	UniProt:P57729	protein	None	None	None
pid_141533	DLX5	UniProt:P56178	protein	None	None	None
pid_141573	TPRG	UniProt:Q9H3D4	protein	None	None	None
pid_141580	AXL	UniProt:P30530	protein	None	None	None
pid_141611	STXBP4	UniProt:Q6ZWJ1	protein	None	None	None
pid_141639	Fra2	UniProt:P15408	protein	None	None	None
pid_141665	NRG1	UniProt:Q02297	protein	None	None	None
pid_14166	Gi-family	None	protein	None	None	None
pid_141745	RRAD	UniProt:P55042	protein	None	None	None
pid_141755	Fbw7-alpha	UniProt:Q969H0	protein	None	None	None
pid_141769	Cyclin-B2	UniProt:O95067	protein	None	None	None
pid_141777	TOP2A	UniProt:P11388	protein	None	None	None
pid_14179	GNAI1	UniProt:P63096	protein	None	None	None
pid_141965	CDK1	UniProt:P06493	protein	[O-phospho-L-threonine]@161;[O4'-phospho-L-tyrosine]@15	None	None
pid_14196	CXCL13	UniProt:O43927	protein	None	extracellular-region	None
pid_141970	CDK1	UniProt:P06493	protein	[O-phospho-L-threonine]@161	None	None
pid_141984	PLK1	UniProt:P53350	protein	[O-phospho-L-threonine]@210;activating-residue-modification	None	None
pid_141992	Hec1	UniProt:O14777	protein	None	None	None
pid_141993	SPC24	UniProt:Q8NBT2	protein	None	None	None
pid_142004	PLK1	UniProt:P53350	protein	[O-phospho-L-threonine]@210;activating-residue-modification	kinetochore	None
pid_142009	sSgo1	UniProt:Q5FBB7	protein	None	None	None
pid_142012	sSgo1	UniProt:Q5FBB7	protein	[O-phospho-L-serine]@73;[O-phospho-L-threonine]@146	spindle-pole	None
pid_142024	beta-TrCP1-2	None	protein	activating-residue-modification	None	None
pid_142032	BUBR1	UniProt:O60566	protein	[O-phospho-L-threonine]@620	outer-kinetochore-of-condensed-chromosome	None
pid_142037	BUBR1	UniProt:O60566	protein	[O-phospho-L-serine]@676;[O-phospho-L-threonine]@620	outer-kinetochore-of-condensed-chromosome	None
pid_142043	PLK1	UniProt:P53350	protein	[O-phospho-L-threonine]@210;activating-residue-modification	outer-kinetochore-of-condensed-chromosome	None
pid_142056	CLASPIN	UniProt:Q9HAW4	protein	None	nucleus	None
pid_142058	CLASPIN	UniProt:Q9HAW4	protein	[O-phospho-L-serine]@30	nucleus	None
pid_142071	MKLP2	UniProt:O95235	protein	None	microtubule	None
pid_142073	MKLP2	UniProt:O95235	protein	None	None	None
pid_142074	PLK1	UniProt:P53350	protein	[O-phospho-L-threonine]@210	None	None
pid_142086	WEE1	UniProt:P30291	protein	None	None	None
pid_142088	WEE1	UniProt:P30291	protein	[O-phospho-L-serine]@123;[O-phospho-L-serine]@53	None	None
pid_142098	GRASP65	UniProt:Q9BQQ3	protein	None	None	None
pid_142101	RAB1	UniProt:P62820	protein	None	None	None
pid_142104	GM130	UniProt:Q08379	protein	None	None	None
pid_142112	GRASP65	UniProt:Q9BQQ3	protein	[O-phospho-L-serine]@373	None	None
pid_142114	RAB1	UniProt:P62820	protein	[O-phospho-L-threonine]@195	None	None
pid_142135	Aurora-A	UniProt:O14965	protein	[O-phospho-L-threonine]@288	None	None
pid_142136	BORA	UniProt:Q6PGQ7	protein	[O-phospho-L-serine]@252	None	None
pid_142165	NudC	UniProt:Q9Y266	protein	[O-phospho-L-serine]@274;[O-phospho-L-serine]@326	outer-kinetochore-of-condensed-chromosome	None
pid_14216	MEK1-2	None	protein	None	None	None
pid_142190	KIF2A	UniProt:O00139	protein	None	microtubule	None
pid_142193	KIF2A	UniProt:O00139	protein	[phosphorylated-residue]@null	spindle	None
pid_142209	gamma-Tubulin	UniProt:P23258	protein	None	centrosome	None
pid_14220	RAF1	UniProt:P04049	protein	[O-phospho-L-threonine]@268;[O-phospho-L-threonine]@269;activating-residue-modification	None	None
pid_142213	MAD2	None	protein	None	kinetochore	None
pid_142218	PBIP1	UniProt:Q71F23	protein	[O-phospho-L-threonine]@78	None	None
pid_142242	PLK1	UniProt:P53350	protein	[O-phospho-L-threonine]@210;activating-residue-modification	centrosome	None
pid_142249	Cenexin-1	UniProt:Q5BJF6	protein	None	centrosome	None
pid_142259	Kizuna	UniProt:Q2M2Z5	protein	[O-phospho-L-threonine]@379;[phosphorylated-residue]@null	pericentriolar-material	None
pid_142270	CDC25C	UniProt:P30307	protein	[O-phospho-L-serine]@198	cytoplasm	None
pid_142271	CDC25C	UniProt:P30307	protein	[O-phospho-L-serine]@198	nucleus	None
pid_142278	PBIP1	UniProt:Q71F23	protein	[O-phospho-L-threonine]@78;inactivating-residue-modification	kinetochore	None
pid_142290	PP2A-B56	None	protein	None	None	None
pid_142316	CDC20	UniProt:Q12834	protein	None	None	None
pid_142325	PRC1-2	UniProt:O43663	protein	None	None	None
pid_142329	PRC1-2	UniProt:O43663	protein	[O-phospho-L-threonine]@572	None	None
pid_142344	PLK1	UniProt:P53350	protein	[O-phospho-L-serine]@49;[O-phospho-L-threonine]@210;activating-residue-modification	centrosome	None
pid_142355	NLP	UniProt:Q9Y2I6	protein	None	None	None
pid_142357	gamma-Tubulin	UniProt:P23258	protein	None	None	None
pid_142360	NLP	UniProt:Q9Y2I6	protein	[phosphorylated-residue]@null	None	None
pid_142370	PBIP1	UniProt:Q71F23	protein	None	kinetochore	None
pid_142379	Kizuna	UniProt:Q2M2Z5	protein	[phosphorylated-residue]@null	pericentriolar-material	None
pid_14237	DNM1	UniProt:Q05193	protein	None	None	None
pid_142388	BUBR1	UniProt:O60566	protein	None	outer-kinetochore-of-condensed-chromosome	None
pid_142399	CDC14B	UniProt:O60729	protein	None	nucleolus	None
pid_142402	CDC14B	UniProt:O60729	protein	None	nucleoplasm	None
pid_142417	TCTP	UniProt:P13693	protein	[O-phospho-L-serine]@46	None	None
pid_14241	beta-Arrestin1	UniProt:P49407	protein	None	None	None
pid_142421	TCTP	UniProt:P13693	protein	[O-phospho-L-serine]@46;[O-phospho-L-serine]@64	None	None
pid_142439	PICH	UniProt:Q2NKX8	protein	[O-phospho-L-threonine]@1063	chromosome	None
pid_142444	PICH	UniProt:Q2NKX8	protein	[O-phospho-L-threonine]@1063	None	None
pid_142466	BORA	UniProt:Q6PGQ7	protein	[O-phospho-L-serine]@252;[O-phospho-L-serine]@497;[O-phospho-L-threonine]@501	None	None
pid_142476	Bub1;BUB1	UniProt:O43683	protein	[O-phospho-L-threonine]@609	kinetochore	None
pid_142486	CENPE	UniProt:Q02224	protein	None	None	None
pid_142489	CENPE	UniProt:Q02224	protein	None	kinetochore	None
pid_142496	EMI1	UniProt:Q9UKT4	protein	None	None	None
pid_142498	EMI1	UniProt:Q9UKT4	protein	[O-phospho-L-serine]@145;[O-phospho-L-serine]@149	None	None
pid_142508	ROCK2	UniProt:O75116	protein	[O-phospho-L-serine]@1099;[O-phospho-L-serine]@1132;[O-phospho-L-serine]@1134;[O-phospho-L-threonine]@967;activating-residue-modification	None	None
pid_142535	ECT2	UniProt:Q9H8V3	protein	None	None	None
pid_142536	ECT2	UniProt:Q9H8V3	protein	None	spindle-midzone	None
pid_142546	hSgo1	UniProt:Q5FBB7	protein	None	centrosome	None
pid_142577	HCDH1	UniProt:Q9UM11	protein	[O-phospho-L-serine]@151;[O-phospho-L-serine]@163;[O-phospho-L-serine]@40;[O-phospho-L-threonine]@121;inactivating-residue-modification	None	None
pid_142596	PICH	UniProt:Q2NKX8	protein	None	chromosome	None
pid_142605	SA2	UniProt:Q8N3U4	protein	None	None	None
pid_142610	SA2	UniProt:Q8N3U4	protein	[phosphorylated-residue]@null	None	None
pid_142621	TCTP	UniProt:P13693	protein	None	None	None
pid_142635	TPX2	UniProt:Q9ULW0	protein	None	spindle-microtubule	None
pid_142645	NudC	UniProt:Q9Y266	protein	None	outer-kinetochore-of-condensed-chromosome	None
pid_142671	PLK1	UniProt:P53350	protein	inactivating-residue-modification	centrosome	None
pid_142677	PPP1CB	UniProt:P62140	protein	None	None	None
pid_142680	MYPT1	UniProt:O14974	protein	[O-phospho-L-serine]@473	None	None
pid_14279	p110-beta	UniProt:P42338	protein	None	None	None
pid_14301	PDK1	UniProt:O15530	protein	[O-phospho-L-serine]@241;activating-residue-modification	plasma-membrane	None
pid_143038	BIM	UniProt:O43521	protein	[O-palmitoyl-L-serine]@69;[O-phospho-L-serine]@59;activating-residue-modification	None	None
pid_143044	NRIF	UniProt:Q96GC6	protein	[ubiquitinylated-lysine]@59;[ubiquitinylated-lysine]@null	nucleus	None
pid_143053	p75(NTR)	UniProt:P08138	protein	[N4-glycosyl-L-asparagine]@null	None	None
pid_143065	proNGF	UniProt:P01138	protein	Fragment:19-241	None	None
pid_143069	Sortilin	UniProt:Q99523	protein	None	None	None
pid_143088	proBDNF	UniProt:P23560	protein	Fragment:19-247	None	None
pid_14308	Src	UniProt:P12931	protein	None	None	None
pid_143097	MMP3	UniProt:P08254	protein	Fragment:100-477	None	None
pid_143102	RhoA-B_C	None	protein	None	None	None
pid_143113	p75(NTR)	UniProt:P08138	protein	[N4-glycosyl-L-asparagine]@null;[O-phospho-L-serine]@303	None	None
pid_143115	PKA	UniProt:P22694	protein	None	None	None
pid_143147	SC-1	UniProt:Q9UKN5	protein	None	cytoplasm	None
pid_143149	SC-1	UniProt:Q9UKN5	protein	activating-residue-modification	nucleus	None
pid_143171	Caspase-3-p18	UniProt:P55212	protein	None	None	None
pid_143173	Caspase-3-p11	UniProt:P55212	protein	None	None	None
pid_143180	MAGE-G1	UniProt:Q96MG7	protein	None	None	None
pid_143217	NADE	UniProt:Q00994	protein	None	None	None
pid_143229	NSMASE	UniProt:O60906	protein	activating-residue-modification	None	None
pid_143241	Necdin	UniProt:Q99608	protein	None	None	None
pid_143254	NRIF	UniProt:Q96GC6	protein	None	None	None
pid_143262	p75-CTF	None	protein	None	None	None
pid_143270	p75-ECD	None	protein	None	None	None
pid_143318	MAGE-H1	UniProt:Q9H213	protein	None	None	None
pid_143329	SHC	UniProt:P29353	protein	[O4'-phospho-L-tyrosine]@null;activating-residue-modification	None	None
pid_143432	p75-ICD	None	protein	None	None	None
pid_143474	MGDIs	None	protein	None	None	None
pid_143476	LINGO1	UniProt:Q6UXM3	protein	None	None	None
pid_143479	NGR	UniProt:Q9BZR6	protein	None	None	None
pid_143514	BIM	UniProt:O43521	protein	[O-phospho-L-serine]@59;[O-phospho-L-serine]@69;activating-residue-modification	None	None
pid_143531	BAD	UniProt:Q92934	protein	[O-phospho-L-serine]@91;activating-residue-modification	None	None
pid_143554	BEX1	UniProt:Q9HBH7	protein	None	None	None
pid_143571	MDGIs	None	protein	None	None	None
pid_143662	Mammalian-IAPs	None	protein	None	None	None
pid_143683	p53	UniProt:P04637	protein	activating-residue-modification	nucleus	None
pid_143699	BEX1	UniProt:Q9HBH7	protein	None	nucleus	None
pid_143734	PKA	UniProt:P22694	protein	activating-residue-modification	cytoplasm	None
pid_14438	ARF6;Arf6	UniProt:P62330	protein	None	None	None
pid_144400	TAK1	UniProt:O43318	protein	[O-phospho-L-serine]@192;[O-phospho-L-threonine]@184;[O-phospho-L-threonine]@187;activating-residue-modification	None	None
pid_144406	HIP-55	UniProt:Q9UJU6	protein	[O4'-phospho-L-tyrosine]@334;[O4'-phospho-L-tyrosine]@344	None	None
pid_14454	alphaIIb-Integrin	UniProt:P08514	protein	None	None	None
pid_14457	beta3-Integrin	UniProt:P05106	protein	None	None	None
pid_144802	p53	UniProt:P04637	protein	[N-acetylated-L-lysine]@320;[N-acetylated-L-lysine]@370;[N-acetylated-L-lysine]@372;[N-acetylated-L-lysine]@373;[N-acetylated-L-lysine]@381;[N-acetylated-L-lysine]@382;activating-residue-modification	nucleus	None
pid_144806	p53	UniProt:P04637	protein	[N-acetylated-L-lysine]@320;[N-acetylated-L-lysine]@370;[N-acetylated-L-lysine]@372;[N-acetylated-L-lysine]@373;[N-acetylated-L-lysine]@381;inactivating-residue-modification	None	None
pid_14480	EGF	UniProt:P01133	protein	None	None	None
pid_144818	p300	UniProt:Q09472	protein	[N-acetylated-L-lysine]@1020;[N-acetylated-L-lysine]@1024;activating-residue-modification	nucleus	None
pid_144824	p300	UniProt:Q09472	protein	inactivating-residue-modification	None	None
pid_144835	FOXO4	UniProt:P98177	protein	[N-acetylated-L-lysine]@null;inactivating-residue-modification	None	None
pid_14483	EGFR	UniProt:P00533	protein	[O4'-phospho-L-tyrosine]@1092;[O4'-phospho-L-tyrosine]@1110;activating-residue-modification	None	None
pid_144846	MEF2D	UniProt:Q14814	protein	[N-acetylated-L-lysine]@424	nucleus	None
pid_144849	MEF2D	UniProt:Q14814	protein	[sumoylated-lysine]@424	None	None
pid_144863	FOXO1	UniProt:Q12778	protein	[N-acetylated-L-lysine]@null;activating-residue-modification	nucleus	None
pid_144865	FHL2	UniProt:Q14192	protein	None	nucleus	None
pid_144867	FOXO1	UniProt:Q12778	protein	inactivating-residue-modification	None	None
pid_144876	Lysophosphatidic-acid	None	small-molecule	None	None	None
pid_144882	SIRT2	UniProt:Q8IXJ6	protein	None	cytoplasm	None
pid_144883	HOXA10	UniProt:P31260	protein	None	cytoplasm	None
pid_144887	HOXA10	UniProt:P31260	protein	None	None	None
pid_144896	Histone-H3	None	protein	activating-residue-modification	None	None
pid_144899	Histone-H3	None	protein	None	None	None
pid_144919	FOXO3a;FOXO3A	UniProt:O43524	protein	[N-acetylated-L-lysine]@null;activating-residue-modification	None	None
pid_14491	ARFGEP100	UniProt:Q6DN90	protein	activating-residue-modification	None	None
pid_144922	FOXO3a;FOXO3A	UniProt:O43524	protein	inactivating-residue-modification	None	None
pid_144942	BAX	UniProt:Q07812	protein	None	nucleus	None
pid_144951	HIV-1-Tat	UniProt:P04608	protein	[N-acetylated-L-lysine]@50	nucleus	None
pid_144956	HIV-1-Tat	UniProt:P04608	protein	None	None	None
pid_144974	AceCS1	UniProt:Q9NR19	protein	[N-acetylated-L-lysine]@661;inactivating-residue-modification	nucleus	None
pid_144978	AceCS1	UniProt:Q9NR19	protein	activating-residue-modification	cytoplasm	None
pid_144987	Histone-H1b	UniProt:P10412	protein	[acetylated-L-serine]@1;[N-acetylated-L-lysine]@26;activating-residue-modification	None	None
pid_144996	Histone-H1b	UniProt:P10412	protein	None	None	None
pid_145010	AceCS2	UniProt:Q9NUB1	protein	[N-acetylated-L-lysine]@642;inactivating-residue-modification	None	None
pid_145014	AceCS2	UniProt:Q9NUB1	protein	activating-residue-modification	None	None
pid_145019	SIRT3	UniProt:Q9NTG7	protein	None	None	None
pid_14501	beta-Arrestin2	UniProt:P32121	protein	None	cytoplasm	None
pid_145023	KU70;Ku70	UniProt:P12956	protein	[N-acetylated-L-lysine]@538;[N-acetylated-L-lysine]@543;activating-residue-modification	nucleus	None
pid_145035	Histone-H4	UniProt:P62805	protein	inactivating-residue-modification	None	None
