#id	name	xref
pid_92199	DNA-end-binding	GO:GO:0045027
pid_92277	double-strand-break-repair-via-nonhomologous-end-joining	GO:GO:0006303
pid_92400	histone-H3-K9-methylation	GO:GO:0051567
pid_9270	actin-cytoskeleton-reorganization	GO:GO:0031532
pid_92868	negative-regulation-of-microtubule-depolymerization	GO:GO:0007026
pid_92949	microtubule-based-movement	None
pid_93151	anaphase	None
pid_9392	positive-regulation-of-cell-migration	GO:GO:0030335
pid_94042	Bergmann-glial-cell-differentiation	GO:GO:0060020
pid_9409	calcium-dependent-protein-kinase-C-activity	GO:GO:0004698
pid_94251	oligodendrocyte-development	GO:GO:0014003
pid_9505	negative-regulation-of-mast-cell-degranulation	GO:GO:0043305
pid_95123	aging	GO:GO:0007568
pid_951	response-to-radiation	GO:GO:0009314
pid_96191	regulation-of-cell-matrix-adhesion	GO:GO:0001952
pid_97968	nuclear-fragmentation-during-apoptosis	GO:GO:0030264
pid_97975	apoptotic-nuclear-changes	GO:GO:0030262
pid_98191	positive-regulation-of-apoptosis	GO:GO:0043065
pid_9822	degradation	None
pid_9831	cytokine-secretion	GO:GO:0050663
pid_98872	transcription-factor-binding	GO:GO:0008134
