#id	controllingElements	controlledElements	controlType	catalysisdir	evidence	xref
pid_137036	pid_137037	pid_137033	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:9794795
pid_137064	pid_40369	pid_137061	ACTIVATION	LEFT_TO_RIGHT	inferred-from-physical-interaction:ECO:0000021	Pubmed:11134009
pid_137073	pid_137074	pid_137066	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:21282639
pid_137084	pid_26240	pid_137081	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12024020;Pubmed:15574420
pid_137085	pid_47514	pid_137081	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12024020;Pubmed:15574420
pid_137096	pid_71252	pid_137090	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:21282639
pid_137102	pid_26240	pid_137099	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11114521;Pubmed:15169898
pid_137103	pid_9145	pid_137099	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11114521;Pubmed:15169898
pid_137147	pid_26240	pid_137144	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12024020;Pubmed:15574420
pid_137148	pid_47514	pid_137144	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-sequence-orthology:ECO:00000060	Pubmed:12024020;Pubmed:15574420
pid_137166	pid_114556	pid_137161	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10391677;Pubmed:2122974;Pubmed:7622571;Pubmed:8264620
pid_137173	pid_44750	pid_137170	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10962581;Pubmed:12543077;Pubmed:7760801
pid_137174	pid_32947	pid_137170	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10962581;Pubmed:12543077;Pubmed:7760801
pid_137179	pid_26240	pid_137176	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:14967142
pid_137180	pid_113809	pid_137176	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:14967142
pid_137185	pid_26240	pid_137182	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:11896619;Pubmed:17971444;Pubmed:7545675
pid_137186	pid_114533	pid_137182	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-physical-interaction:ECO:0000021	Pubmed:11896619;Pubmed:17971444;Pubmed:7545675
pid_137192	pid_49397	pid_137189	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:12270932
pid_137224	pid_26240	pid_137221	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:10411909;Pubmed:14560030;Pubmed:9642214
pid_137225	pid_47514	pid_137221	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:10411909;Pubmed:14560030;Pubmed:9642214
pid_13889	pid_13890	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16467404
pid_13912	pid_13913	pid_13909	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:18174362
pid_13914	pid_13915	pid_13909	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:18174362
pid_13952	pid_13953	pid_13927	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:12782716
pid_13959	pid_13960	pid_13956	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:11554781;Pubmed:9660793
pid_13963	pid_13964	pid_13956	INHIBITION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:11554781;Pubmed:9660793
pid_139961	pid_131880	pid_13887	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16798838
pid_139975	pid_33457	pid_139970	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:7812007;Pubmed:8692878
pid_139981	pid_139946	pid_139979	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10973280
pid_139987	pid_131974	pid_139984	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011	Pubmed:8316840
pid_139993	pid_132140	pid_139989	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10669417
pid_14000	pid_13913	pid_13994	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:11739530;Pubmed:16368892
pid_140011	pid_9379	pid_140008	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:15905535
pid_140015	pid_131874	pid_140013	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10669418;Pubmed:8692878
pid_140021	pid_12350	pid_140019	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:15905535
pid_140027	pid_11799	pid_140024	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:10188995;Pubmed:7750573;Pubmed:8662698;Pubmed:8702797
pid_140032	pid_12411	pid_140029	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16798838
pid_140033	pid_11907	pid_140029	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16798838
pid_140036	pid_131874	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10669418;Pubmed:18662984
pid_140047	pid_12297	pid_140040	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10347185;Pubmed:10623425;Pubmed:12626541;Pubmed:15028716;Pubmed:8702597;Pubmed:9726994
pid_140048	pid_132155	pid_140040	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10347185;Pubmed:10623425;Pubmed:12626541;Pubmed:15028716;Pubmed:8702597;Pubmed:9726994
pid_140049	pid_140050	pid_140040	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10347185;Pubmed:10623425;Pubmed:12626541;Pubmed:15028716;Pubmed:8702597;Pubmed:9726994
pid_14005	pid_14006	pid_13887	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12750173;Pubmed:15528361;Pubmed:17289675
pid_140076	pid_40183	pid_140070	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10623425;Pubmed:11145710;Pubmed:15028716
pid_140077	pid_65850	pid_140070	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10623425;Pubmed:11145710;Pubmed:15028716
pid_140094	pid_9317	pid_140091	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:15905535
pid_140095	pid_9379	pid_140091	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:15905535
pid_140100	pid_132121	pid_140097	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011	Pubmed:8316840
pid_140102	pid_139971	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16873675
pid_140118	pid_4986	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16798838
pid_140121	pid_132007	pid_14037	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10188995;Pubmed:9568725
pid_140127	pid_33638	pid_140124	ACTIVATION	LEFT_TO_RIGHT	inferred-from-genetic-interaction:ECO:0000011	Pubmed:8316840
pid_14013	pid_13867	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12750173;Pubmed:15528361;Pubmed:17289675
pid_140144	pid_102143	pid_140140	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:8316840
pid_140149	pid_79388	pid_140146	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:10347185;Pubmed:12626541;Pubmed:7578017;Pubmed:9553132
pid_14014	pid_13913	pid_13887	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:12750173;Pubmed:15528361;Pubmed:17289675
pid_140157	pid_131874	pid_140154	ACTIVATION	LEFT_TO_RIGHT	None	Pubmed:16798838
pid_140161	pid_33638	pid_140158	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-sequence-orthology:ECO:00000060	Pubmed:10669417
pid_14021	pid_13960	pid_14019	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9541591
pid_14022	pid_13913	pid_14019	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:9541591
pid_140264	pid_140265	pid_140261	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20962848
pid_140276	pid_140277	pid_140275	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:17050669
pid_140286	pid_140287	pid_140285	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:19783996
pid_140296	pid_140297	pid_140295	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:12374749
pid_14029	pid_14030	pid_14026	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:16210647;Pubmed:18375741;Pubmed:9660793
pid_140306	pid_140287	pid_140305	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11932750;Pubmed:19783996
pid_140321	pid_16234	pid_140310	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:19783996
pid_140340	pid_16642	pid_140332	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:19668228
pid_140345	pid_140333	pid_9822	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:19668228
pid_140351	pid_140265	pid_140348	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20962848
pid_140356	pid_140357	pid_140355	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17965458;Pubmed:19898465
pid_140362	pid_140363	pid_140355	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17965458;Pubmed:19898465
pid_140373	pid_917	pid_140372	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:11932750;Pubmed:15797384
pid_140374	pid_140311	pid_140372	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:11932750;Pubmed:15797384
pid_140383	pid_140277	pid_140379	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16324689
pid_140389	pid_140277	pid_140388	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15797384
pid_140394	pid_140277	pid_140393	ACTIVATION	None	inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18037962
pid_140398	pid_917	pid_140397	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:11932750
pid_140399	pid_140311	pid_140397	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:11932750
pid_14039	pid_13939	pid_14037	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002	Pubmed:12782716
pid_140404	pid_5402	pid_140401	ACTIVATION	LEFT_TO_RIGHT	inferred-from-physical-interaction:ECO:0000021	Pubmed:16007146
pid_140408	pid_140265	pid_140407	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:18037962
pid_140414	pid_140277	pid_140410	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18087216
pid_140420	pid_140277	pid_140419	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:20429933
pid_140421	pid_140422	pid_140419	INHIBITION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:20429933
pid_140427	pid_140428	pid_140426	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15965232;Pubmed:16462763;Pubmed:19898465;Pubmed:21335238
pid_140434	pid_140363	pid_140426	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15965232;Pubmed:16462763;Pubmed:19898465;Pubmed:21335238
pid_140442	pid_140311	pid_140441	ACTIVATION	None	None	Pubmed:18037962
pid_140443	pid_140262	pid_75189	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:20962848
pid_140444	pid_140349	pid_75189	INHIBITION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:20962848
pid_140455	pid_20322	pid_140447	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:18806757
pid_140461	pid_140277	pid_140460	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15361520
pid_140467	pid_140311	pid_140466	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16410722
pid_14046	pid_14047	pid_14041	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:11136732
pid_140473	pid_917	pid_140472	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18388131
pid_140474	pid_140277	pid_140472	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18388131
pid_140480	pid_140277	pid_140479	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20962848
pid_140485	pid_140277	pid_140484	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17050669
pid_140486	pid_140363	pid_140484	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17050669
pid_140491	pid_140265	pid_140490	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18037962
pid_140496	pid_140277	pid_140495	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15466179
pid_140501	pid_140311	pid_140500	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18087216
pid_140505	pid_140448	pid_9822	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:16908849;Pubmed:18806757
pid_140512	pid_73440	pid_140509	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:20559324
pid_140513	pid_26564	pid_140509	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:20559324
pid_140518	pid_140311	pid_140517	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15361520
pid_140529	pid_140265	pid_140528	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015	Pubmed:18037962
pid_140539	pid_5371	pid_140531	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015	Pubmed:18411264
pid_140544	pid_140277	pid_140543	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:15982302
pid_140547	pid_140277	pid_140546	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16462763
pid_140548	pid_140363	pid_140546	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16462763
pid_140553	pid_140277	pid_140552	ACTIVATION	None	None	Pubmed:18037962
pid_140557	pid_140277	pid_140554	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:11641404
pid_140573	pid_140574	pid_140562	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:21335238
pid_140575	pid_140576	pid_140562	ACTIVATION	None	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:21335238
pid_140593	pid_140594	pid_140590	ACTIVATION	LEFT_TO_RIGHT	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:20613985
pid_140608	pid_5402	pid_140605	ACTIVATION	LEFT_TO_RIGHT	inferred-from-physical-interaction:ECO:0000021	Pubmed:16007146
pid_140614	pid_140311	pid_140610	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:21300779
pid_140626	pid_140311	pid_140625	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16959223
pid_140634	pid_140277	pid_140630	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16446369
pid_140638	pid_140600	pid_9822	ACTIVATION	None	None	Pubmed:18411264
pid_140642	pid_140311	pid_140639	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15944736
pid_140648	pid_140277	pid_140647	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20962848
pid_140653	pid_140311	pid_140652	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20523354
pid_140662	pid_140265	pid_140658	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15982302
pid_140678	pid_16504	pid_140675	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002;inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:16908849
pid_140683	pid_140311	pid_140682	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17637746
pid_140689	pid_140277	pid_140688	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:16715076
pid_140698	pid_140277	pid_140694	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15988020
pid_140704	pid_917	pid_140703	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11932750;Pubmed:19783996
pid_140705	pid_140314	pid_140703	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021	Pubmed:11932750;Pubmed:19783996
pid_140711	pid_140277	pid_140708	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17637751
pid_140717	pid_140311	pid_140716	ACTIVATION	None	inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18037962
pid_140720	pid_140566	pid_140719	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:19898465;Pubmed:21335238;Pubmed:9774969
pid_140728	pid_917	pid_140724	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20543567
pid_140729	pid_140277	pid_140724	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:20543567
pid_140735	pid_140277	pid_140734	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:17093266
pid_140740	pid_140265	pid_140739	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18037962;Pubmed:19898465
pid_140745	pid_140265	pid_140744	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18087216
pid_140750	pid_917	pid_140749	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18296650
pid_140751	pid_140277	pid_140749	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18296650
pid_140756	pid_140277	pid_140755	ACTIVATION	None	inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:18037962
pid_14075	pid_13944	pid_14054	ACTIVATION	LEFT_TO_RIGHT	inferred-from-direct-assay:ECO:0000002	Pubmed:18291705
pid_140770	pid_140277	pid_140767	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15988020
pid_140775	pid_140297	pid_140774	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:12374749;Pubmed:19898465;Pubmed:21335238
pid_140779	pid_28821	pid_140778	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15965232;Pubmed:19898465;Pubmed:20123734;Pubmed:21335238
pid_140780	pid_140428	pid_140778	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15965232;Pubmed:19898465;Pubmed:20123734;Pubmed:21335238
pid_140781	pid_140782	pid_140778	INHIBITION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:15965232;Pubmed:19898465;Pubmed:20123734;Pubmed:21335238
pid_140793	pid_140265	pid_140792	ACTIVATION	None	inferred-from-physical-interaction:ECO:0000021	Pubmed:15982302
pid_140799	pid_140277	pid_140795	ACTIVATION	None	inferred-from-mutant-phenotype:ECO:0000015;inferred-from-physical-interaction:ECO:0000021;inferred-from-reporter-gene-assay:ECO:0000049	Pubmed:21042708
